books;boy_toy;both_toy;hightec;boy_toy;makup_beauty;music_rap;hightec;boy_toy;hightec
2,43428527537467;0;0;0;0;0;0;0;0;1,30157229364923
0;0;0;0;0;0,5;1,00195725541653;0;0,5;3,95046832177344
2,4193219134674;0;0;0;0;0;0;0;4,34724760677072;2,84359293610025
0;0;0;0;0;1,32455852270339;2,77613642149425;3,94063052346028;0;0
0;0;0;4,38284973352349;0;0;2,04773575395706;0;0;4,49990484840232
0;0;3,2693220047603;0;0;0;0;0;0;0
0;0;1,97103748981424;3,94439405246842;3,74926190485678;0;0;4,75354477099774;3,09546312787359;0
0;0;0;0;0;0;0;0;2,585091458906;1,62772490532497
3,08050847053528;0,5;0,618007208974104;0;0;0;4,61011362075806;3,72027542615322;0;0
0;0;0;0;0;5;0;0;0,5;0
0;0;0;3,69975289315905;0;0;0;0;0;0
0;0;2,5705425923553;0;0;0;0;3,66910040689125;0;3,60711136022914
0;0,53087443113327;3,58377672339965;0,757489564249986;0;0;0;0;0;0
3,7728910446167;0;0;0;0;0;0;0;1,94287836551666;0
4,53481186299343;0;1,92340412359843;2,08557606655433;0;0;0;0;0,936471707390841;0
0;2,48401975631714;0;0;0;0;1,28590297698975;4,51583384327397;3,61232773289658;0
0;3,92269658154002;0;4,40654531466148;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;2,5777518011526;0;0;0;4,81869029998779;0;0;3,39497975534526;0
0;0;0;0;0;0;0;0;1,91927736435052;4,80925358264207
1,31881125425865;0;1,02899893095205;0;0;0;1,68587159397354;0;0;0
0;0,527773301362886;0;0;1,00398763362504;0;1,18540952316737;1,10295423963245;1,03008062673271;1,47902253804683
0;0;0;4,2565081106762;0;0;0;0;0;4,8879158421829
0;0,786710197705175;0;2,10649018553388;2,01961562038381;3,88652030233597;1,12433120730535;2,55415344659898;0;1,20341083137477
0;0;2,74162492423394;0;0;0;0;0;0,5;4,78985214233398
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;4,08113458104484;0;0
0;0;0;0;0;0,5;0;0;0,5;4,38523453817947
2,03023475782491;0,5;0;0;0,5;0;0;0;0;0
3,92977123098903;0;0;0;0;4,77019427566333;3,63546729583082;0;0,5;0
0;4,70168117606159;0;0;4,27538704652124;0;1,31602885542253;0;4,92034892268495;0
4,57858321656407;0;0;0;0;0;1,81366232261698;0;0;1,2007951932963
3,94667843866473;0;0;0;0;0;0;0;0;0
3,64854494093384;0;0;0;0;1,86828009265861;0;0;0;3,23386398434353
0;0;0;5;0;0;0;0;0;0
0;0;0;2,22401464927197;0;0;3,18701728116116;0;0;3,59237170153874
0;0;0;0;4,6607789889261;3,66663479804993;0;4,81005735546819;0;0
2,2794611171258;0;0;0;0;0;0,950781502738028;0,517937974081346;3,6737013387837;0
0;0;3,9126875137038;0;0;0;1,76573463169194;0;0;0
0;0,5;0;3,55774322271242;0,5;0;1,93768431848739;0;0,5;0
2,99403094965687;0;0;0;0;0;0;3,31424628678441;0;0
3,57448272806335;0;0;0;0;4,6600386456866;0;0;0;0
0;0;0;0;0;0;0;0;0;0
3,95520466517434;0;0;0;0;0;0;0;0;2,52333372948846
1,52414171794622;0;1,87413903366501;0;0;0;4,83643949955536;0;0;0
0;0;0;0;0;0;0;4,52288515564189;0;0
0;0;0;2,46068414787794;0;1,49174845218658;0;4,19098671441478;4,33256214732889;0
0;0;1,99898462393274;0;0,5;0;0;3,99388818815066;1,5;0
0;0;1,17994901010764;3,2987859711511;0,5;0;0;0;0;2,9881146191564
3,55312809979223;4,11291694134144;2,88870243117618;2,10898316889488;0;0;0;4,39040498313978;0;0
4,00328779220581;0;0;0;0;4,48616133559782;1,39270535595375;0;0;0
0;0;0;4,57985402344719;0;0,5;0;0;0;0
1,24958379019498;1,5;0;3,95149756313837;0,5;4,4107745729437;0;0;0;0
2,42672156283014;0;0;0;1,09797922246995;0,5;2,16202887714004;0;0;4,36383658990443
4,70986510287498;0;1,37977541721415;2,86031440312989;3,11973113688628;0;0;0;2,20833033612386;0
0;0;2,28981590270996;0;0;0;0;3,3585149572969;0;0
2,49881812720504;0;0;0;3,17575195346761;0;1,73826632683085;0;0;2,82725977897644
3,50210380554199;0;0;0;0;2,70771139567146;0;0;0;4,96546501804398
