hightec;sport_stuff;music_rap;hightec;sport_stuff;movies;boy_toy;both_toy;gardening;hightec
1,94626365692646;0,598434447356702;0;1,26088427601423;0;2,38741288771267;3,46742847350772;2,07304272617821;0;0
3,40696745291677;2,13289761543274;1,64834478015469;4,91154511268788;1,79076066277491;0;0;2,88021103193993;2,83122377974504;3,71623151317063
0;1,64089245565277;0,78023210111085;0,566105103616652;0;1,88136677601438;0,787972846668201;0;0;0,981550525632478
4,18607800369434;0;2,41666610977457;3,57077556176613;1,95568162526734;0;0;0;1,64982780402053;3,63628788275471
0;3,78875952716393;1,88924209349288;0;4,29507181388096;2,07756409401892;0,5;0,668014110609896;0,690356695880348;4,71130891969023
0;0;0,543930656762761;1,20805986677672;2,93459936554292;1,882849530728;0;2,61629143665372;0,5;1,1093896183229
3,55963735774143;1,04540214224039;2,95503394024215;2,41209220579457;1,20296554323424;1,91179594277022;4,96637109851761;0;2,10257953014345;0
0;3,41774791265733;4,92272393215574;2,92034492870809;0;3,0377984046936;0,5;1,53484537384233;0,5;3,90259388829702
0;3,79505032524236;4,49962210259383;0;3,90745093017232;0;1,5;0,900581708364459;0,5;3,1510253758873
4,33823612208396;1,2817070932508;0;3,08214262131701;2,65049885383365;3,77275090886874;3,26556143828927;2,47280827698894;2,32266709456344;0
4,34947284187631;3,43907527459742;2,25958988967333;4,62665893166636;4,82966532643403;3,97911643282469;1,47798382932226;0,5;0;0
3,24276638228575;4,32232554597888;1,893140381618;4,69912947327789;0;0;0,5;1,74741013685586;0,770304111889705;4,54406425242501
0;3,93963757759875;2,98244540392535;3,2764133970609;4,93099231735384;2,13891865342805;0,5;1,0706861105611;0,767625069603149;2,53077793121338
3,01767430269051;0;2,07124519348145;3,4265981113662;1,68483453275861;4,90549766547303;0;2,50607265974678;0;3,98498648637207
4,86913729918615;1,45166758655182;1,68380056679426;3,73240703564715;1,7940343314754;2,95919346809387;3,27658833529641;1,41665852069855;3,13406987634211;0
0;1,13480186515246;0;4,162428855896;1,65861669958505;0;4,82497301782713;3,80773933595407;3,03164649009705;0
0;0;2,15708672309159;3,97619606320569;0;0;0;0,941486536497942;0,966127395629883;0
1,73895597003352;0;1,46331416394716;0,670545217194848;0;1,0371436914602;2,06089994314169;2,29712447374925;0;0
1,37172664672682;2,11707917699454;0;1,04673372630343;3,76089584536892;1,7904962044165;4,76891374763516;0;0,5;1,53409356322796
4,0426311907557;1,89490593545833;1,26314194605832;4,72012078469625;1,06486515331309;2,9879885101635;3,11729216575623;0;3,20694443360294;0
0;0;0,639130012197015;2,39648354817018;0;0,677818955936385;0;0;0;3,82997132271061
0;1,60024504298356;0;0;2,11441865056493;3,09493211474965;3,5723745006008;0;4,31978461580341;3,5268501250664
3,07772184166951;1,84548587344842;1,50882102363222;2,88007703650746;1,94525031696318;0,535380155097405;2,54361748695374;0;4,61429987364183;0
3,36822665406774;0;1,20106360418772;4,34802422176489;0;1,93944812516656;0,5;0,557692677973627;0,981064815996711;0
4,30475615491381;2,49115786118952;1,42890141505231;4,1328993202806;2,20327616539005;0;3,13711979572527;0;2,85342208941161;4,0054598753366
2,50083346408831;3,85382978378508;3,4395104075966;0;4,85686636057536;2,91988643301646;0,523982362134374;0;0,631691694259644;3,22897380880498
1,88996133389415;0;1,47143429609548;0;0;0;0;0;4,88188287889673;0,735783297445524
2,03987787852058;1,27017193393324;0,955468927023685;0;1,94382946795962;0,946927971880384;0;1,30035552210191;0;1,19295201319873
2,84533386181357;1,95184348102279;2,42448472976685;0;0;3,92652861235036;0;0;0;0
2,85371099917857;0,533796310424805;0,862968227995079;1,76609692269289;1,33102091044701;0;0,991259370693592;1,98934254911232;0;0
4,59557481463793;0;2,65752652038705;0;3,60027236798791;0;0,833782840209912;0,5;0,808633098522496;0
1,697869770321;2,0478593521043;1,2117480871788;1,06140151203675;2,75034324300957;1,63839809719399;1,87820042338138;2,27358015453144;0,5;0
0;3,788128152391;1,53862662778172;1,14103979996454;3,98187906853011;1,16361553648655;0;0;0,5;0
0;2,43376836759679;1,83436847610137;1,71230822718344;2,09097369205718;1,68965733549076;0;0,981608271598816;0;0
