boy_toy;books;sport_stuff;music_rock;gardening;music_rap;movies;hightec;music_pop;makup_beauty;hightec;sport_stuff;books;makup_beauty;sport_stuff;music_pop;makup_beauty;both_toy;books;music_rap;music_classic;makup_beauty;girl_toy;music_pop;makup_beauty
3,44872940678556;3,04682322407459;0;3,7475934474485;3,55486646366998;1,96346312992436;2,81533360481262;0;3,6637304190843;0,5;3,70161189357825;0;2,94402742662655;0,5;1,07105434782386;3,42150092124939;0,5;2,08585446564753;3,36849493410834;0;2,87858337577366;0,5;3,57098770354455;4,62599754333496;0,5
3,47250146254548;2,30070793689262;0;1,05498880988685;0,5;1,0267299413681;0;0,952273621201643;1,72570418833089;0;0;3,91531620729496;2,50595612428428;0,5;3,44320152860284;1,86549717623996;0;2,86766375176034;1,57951665231004;1,94345387487833;0,5;0,5;0;1,35456755541012;0
0,547371665503537;4,92299896940729;1,27509624477248;4,47812431374477;0;0;0,953163086414879;3,31126712346974;0;0;0;0;2,48353219032288;0,5;0;0,5;0,5;0,894906388779593;4,82652124568192;0,505994589070787;2,10743106813516;0;1,87822655862115;0,5;0,5
3,84718298912048;2,77395518812069;1,98105348412928;1,84824916387361;1,82292146809535;1,93567337698102;1,73266644367607;0;0,993600875601918;1,82021698440435;4,59070632727384;1,93412277285667;3,84691351272488;0;1,28249210970592;0;3,10402877447383;3,9131545219166;2,40424942057778;0;2,59020393881491;2,28522336961945;0;0,589382767677307;3,88743053185168
2,38283955114095;0;0,531757337288818;4,04356574641707;2,93591016853969;0,764551092760894;0;1,0469329715925;0;2,7696244901836;0,957706332206726;1,19906198382334;4,85787106019346;3,67725232647604;0;0;4,69549765190831;0;0;1,82483169893959;4,07093215178276;0;2,29530746689779;0,5;0
4,57752442386817;0;0;0;2,66049150222004;2,52730827570302;1,88716852664948;3,85332470799485;0;3,99061588663171;4,98548727668146;0;0;0;1,91911776406649;0;0;3,97922056633011;1,53187572956085;2,36325323086383;0;0,518624722957611;4,50998542621265;0;1,1657784321186
4,07241331975554;3,49357298458627;0;0;0;2,93747535996953;0;0;1,21787449075741;2,01525497436523;2,77198487043939;0;2,88234330847969;0;1,59002754771618;0;2,48909851139835;0;2,04834084680692;0;2,51243652706614;2,54481267929077;4,56374552965339;1,07526170978102;1,3859942785399
0,573268371901134;3,51950286166719;0;0;0,573709297493896;2,77954912967028;3,55993092877787;3,65369601298761;1,00719345175065;4,58495684274703;2,40919450503271;4,88203047303577;5;4,54524904468341;0;1,76136363053758;4,31766242269318;0;0;3,20708468426349;0;4,59138159388275;1,49551002424933;0;4,78233575820923
0;0;3,48045940440169;0;0;2,37110768694948;0;0;3,54766685680843;0;0;3,60455172164578;0;2,79026865959167;0;1,1683274946028;4,38469105324926;1,35450281917793;0;3,77404624166621;1,24310610640939;4,19322778526378;0,5;3,84977817202442;0
4,65917850642427;3,75689129147534;1,66202559772042;0,524812698364258;3,75741378346338;0;1,99188276915433;0;0,663183384418107;2,69477607109341;4,20750775011606;1,07511942930292;1,4977707862854;3,51527573518235;0;1,16506244692256;0;0;0;0;1,48116632130983;3,72549406659114;0;1,32558437521829;1,9405608661196
3,32505940754202;3,05119630603641;1,04039922544751;3,01250574505539;0;0;4,14264227735933;3,67245238026253;2,03010816454427;0,5;3,34986257383128;0;0;0,5;1,23663111414603;2,52994529974179;0,5;1,1979901344506;3,66744916498077;1,19250547708594;2,97369350980674;0,5;3,24556978617123;1,98029744625092;0,5
3,50681906170529;2,33629629916339;0;0;4,63881474390571;1,72707932196887;2,26796462632155;4,75986947666848;2,93470811843872;0;0;2,30302220643639;1,35294145315557;0;0;2,59558599656242;0,5;1,22033768250623;1,17272836955857;1,59553567999766;2,30095870480917;0,5;3,27631404217161;3,54392967910689;0,5
0,597284267934637;0;0;0;0;2,26033088576995;3,33585313211002;3,54601073569898;0;4,07013714503038;3,39138592471899;4,67730363443368;4,87382405804183;0;3,34567144156698;2,98101854324341;4,41798819946963;0,5;1,63600206375122;2,25578271982064;0,539023835462995;4,80722130826079;1,09536590757564;2,45169176322021;0
0;2,5938810396911;0;3,66643942783887;0;1,19114878968855;0;3,19660962801269;0;4,80902066911059;0;3,30563974534424;2,5489513806761;4,01013806090231;2,32429766654968;2,94248153825406;4,34889313362022;1,01967237401738;0;2,3386058807373;1,24359165888447;4,42056619954322;0,5;2,35543140459593;0
