hightec;girl_toy;sport_stuff;sport_stuff;boy_toy;movies;movies;music_pop;movies;music_rap;music_pop;girl_toy;hightec;music_pop;movies;movies;sport_stuff;music_pop;sport_stuff;movies
3,18015951345682;0;3,85116001723854;3,27345856617832;0,5;2,17546100526837;0;2,1200066116266;0,933023493007302;1,6382275394342;0;0;3,48465800285339;2,20841240882874;1,85186811389954;2,31003469010351;0;2,32252812385559;3,5820287655024;1,93388290141424
4,12190115317791;4,10446929931641;1,42529346348033;0;3,38477161684296;2,78077540815844;1,32500624656677;2,45905256271362;0;1,22687045215949;0;3,36110392136551;0;0;1,35492146015167;3,82146953783066;1,97812454820523;0,755626261234283;1,98807878279503;0
0;3,40793305375051;2,82978572688521;1,03114598525276;3,84240266952776;0;0;0;0;0;0;3,37255048751831;4,50223636627197;3,99644115008248;4,12488848023344;4,84541184168561;2,49944949313041;3,83433694896956;0;0
2,22923521521931;0,5;3,2102861768614;0;0,5;2,81308831242523;0;3,48020948026339;0,032957911491394;1,89933611121929;0;0,5;2,72573906589567;3,48695747530412;2,96021979253749;0;3,06649516619113;1,85481377591137;0;0
3,46030180829591;1,09038563309721;0;0;0,89494588593717;0;2,27668649250487;2,65898649192368;0;0;0;1,57669984622705;3,04154077174214;2,20762184411642;2,51993186237287;2,35061836724664;4,66824887118686;3,35533738136292;0;0
3,85630383987739;0,5;3,07271256906572;3,91006742320492;0;0,92411054737126;1,59747098809922;2,25466224376795;2,8378950088927;2,51041875104905;1,75405916187636;0,5;3,23707215545563;1,09974610065098;2,52129950375357;2,82040213645455;3,89478836622778;1,74633376567919;3,69379856888847;3,91279458999634
3,89161784615909;3,92210458587953;2,14351397992275;1,83641927169469;3,05818259532479;2,23131671605227;0;1,78771819164405;3,75366638403091;0;3,70748603516607;0;3,95670276086624;3,70023479904059;0;4,30739068673336;1,32207817971803;2,24744724121292;1,6528734055594;3,20749921780429
2,39500627685106;0,5;3,52967931913663;3,1792495102525;0,5;0;1,63828217430892;2,81920004953593;0;4,88178270863452;1,71889225846105;0,5;3,0765325460008;2,59473580755048;0;0,612390158517468;3,63922883786225;0;3,05599204639718;0
4,36192650597632;1,98267798776863;2,04079842567444;4,71646323786884;0;2,91379434192264;1,74100208282471;2,10647007129456;3,76723451342771;2,22779589808909;0;1,85236670256237;0;2,5594003200531;0;3,1208253014464;0;0;3,29847622117888;3,33767126562897
0;1,73293663502342;4,26732938981956;3,4161086531431;0,677558146266992;3,37441453960464;0;0;0;2,14575256134651;2,7946006095943;1,16486316042247;3,85525014011899;2,92261735811951;2,04506617693466;2,06474772471224;2,45946288108826;0;4,75246184959657;0
2,14769979386949;0,5;3,83563633022627;0;0,5;2,81395786852294;2,63768115250286;0;1,0694720128409;4,37257919803848;3,12259935313957;0,5;3,48212400892848;1,22048823033482;1,79137299200118;2,75749012187938;3,32732865648685;1,79255211902435;3,86599423078168;1,21680550729707
2,61605069535601;0,5;3,02500506584766;0;0;2,97838483540266;2,6491527264701;1,2377705356282;1,91603705189938;4,59707230869544;3,71143122376475;0,5;2,43347883803466;0;0,993631122165188;0;0;3,49050366156292;3,04700538518233;2,79680267036744
3,59184801256836;1,94937141842645;0;1,44720282798968;0;0;3,21115080300306;0,5;0;0;0,5;0;3,48291942197034;0;0;0;1,39408184187211;0,5;0;1,59484039530849
0;0,530372530934574;3,80970212202971;4,07208752402667;1,15070390701294;0;0;2,34899375231424;3,27522515518368;0;2,0535935145121;0,632476980161144;0;0;3,24803953349965;4,45820379257202;4,96309149170438;3,71607615971755;4,52273960668721;3,99093934380959
4,43999067667871;0,5;3,92278781576212;4,19128837771308;0,5;0;0;0;1,67557115930858;2,22254091465033;2,56748378023854;0,5;4,53896857683499;2,49175456189166;3,01590018231231;1,6674442995188;3,14673444635548;0;4,30928671700381;1,19961721785349
1,89729142189026;0;0;0;0,5;1,4312279235717;0,565686847113858;2,96400742091425;0;0;0;0,5;3,09792268513605;2,36707816243501;0;2,51819042303515;3,58450228980952;0;3,6866445367628;2,7043179055696
4,90306655964957;0,5;3,12563753128052;0;0;1,52548579360614;0;2,5591895350065;0;1,03776741027832;0;0,5;4,28837802321109;0;3,64588547900593;2,72176112058655;3,83532571365839;1,18230067062299;4,87794208526611;1,24887860740948
0;0;3,05785271993738;3,03333657981518;0,996100821996155;2,66004580662588;2,7883430369144;2,43129749197108;0;3,00819232361773;1,77756523563413;0;2,21158565171602;0;4,30389261245728;3,1370034055491;4,71149986037589;1,32117293696905;4,77897559561719;3,09592091250043
0,78663721763838;4,079791235309;0;2,31710463404521;0;1,96858889608113;1,67807656651273;0,5;1,94726115229878;0,689889712114767;0,5;1,84491682052612;1,6080140681509;0,5;0;1,34614316716145;3,21436667964531;0;0;1,21141123129586
0;0,5;4,15549794917717;0;1,5;1,38766046305544;2,32077223799227;0;2,90666748788518;0;2,01227762690386;0,5;3,01075588632876;0;3,31056440775775;1,15667219560438;0;0;0;0
4,54358281453307;0,5;3,43235106879489;2,15359663963318;0,5;1,43553985954986;0;2,96382142089485;2,07709605529769;0;0,163922652602196;0,5;4,13126893673617;0,187823086977005;0,866110883125156;3,62621678627386;4,94798216966353;3,67196315930782;3,11067733732549;3,92062830924988
0;0;0;0;0,5;2,11998768528923;0;1,34356593682597;1,87501007708488;0;1,64716129035091;0,5;3,2379707355229;0;0;2,08273729685821;3,97492376480947;3,63176962716122;0;1,56686015430226
2,0430123494207;4,76286855096131;0;1,46431671290859;4,48922566067857;1,9573218202951;2,71085006241261;0,576448307408229;1,67492166751759;1,50695842807505;0;0;4,3669291051882;0;0;1,91402668269073;0;0;0;0
