movies;sport_stuff;gardening;music_pop;music_rock;movies;boy_toy;sport_stuff;music_rap;boy_toy;movies;music_rock;movies;music_pop;movies
1,75;1,5;2,25;1,25;1,13784319541317;0,40023934841156;4,5;1,5;2,3809394582086;4,77635335922241;2,78647955683362;2;1,75;1,25;1,75
1,79383979960989;3;0,5;0,5;0,75;1,5;0,85824270097457;3;1,79579280703133;1,06636556846386;1,55238210063073;0,707646775156095;1,47188433840493;0,5;1,5
2,25;1,5;4,5;0,5;4;3,65992744414132;1,62824825412978;1,5;1,83990167842242;1,25;3,23162033768912;3,10151458070684;2,25;0,5;2,25
3,70606222688503;4;0,843436532348132;2,5;4,5;2,49213413614413;0,5;4;2;0,5;3,39336678823147;4,41703673657823;3,11843374912554;2,5;2,25
0,62208705657259;0;2,25;1,25;2;1,75;4,5;0,385450392961502;2;4,5;1,75;2;1,75;1,04746897357864;1,75
1,75;3,63549501944124;0,5;3,89613407938561;3,52034635912643;2,21568156183496;0,5;3,46351441902272;3;0,5;1,75;3,5;1,75;2,5;1,1550798463426
2,27577340476018;3,48783759097002;0,5;2,5;3,5;1,75;0,5;3,5;3;0,5;1,75;3,18283273195048;2,2301422807994;2,5;1,75
1,75;1,998029280453;0,889559299866464;0,774346392962312;1,74934327602386;2,89177595004056;4,5;1,80632622950074;2,7722378930879;4,48987222346006;1,75;2,78839888693225;1,75;0,957515449010541;1,77193689638373
3,5;2,00341681530858;4,11569677904048;2,85860558499517;3,54879694876671;3,82127396847181;3,05927346789244;1,33746270851114;1,70551524809818;3,6384068250835;1,12895476818085;3;2,88298884075274;1,86079326079264;3,89322782116627
1,5;3;0,5;1,25;1,25;1,5;4;3,73344812716052;0,842262617937412;4,59238631911221;1,06682543459666;1,36482538579257;1,5;1,25;1,56575845022023
3,5;2,42953700080027;3,5;2,5;3;3,5;3,5;2;1,5;3,5;3,5;3;3,5;2,5;3,5
3,5;2;2,4006440166387;3,74512492527493;3;3,5;3,54520250370037;2;1,69465023777199;3,5;3,5;3;3,41582749430827;2,5;3,16125157808943
2;1,25;2,81342746169;0,5;4,5;2;2,25;1,25;1,25;1,89303631470214;2,76654441085017;4,11420784104346;2;0,5;2
1,75;3,9315467681417;0,5;2,5;3,5;1,75;0,5;3,5;4,30965171908478;0,5;1,75;3,74842691316662;1,75;2,5;1,75
2,25;1,5;4,5;0,5;4,39102399507119;2,25;0,779691680697581;1,29336203974363;0,713551319070883;0,543957439038883;2,25;4;2,25;0,5;2,82793858103824
0,928822203738998;3,5;0,5;3,35512423112761;3,66105824320626;1,75;0,5;3,5;2,07198684526234;0,5;1,75;3,5;1,75;1,86161695460864;1,75
1,75;1,27631998214699;1,27598850185796;0,920622256314672;2,47454870933413;1,75;4,5;1,5;2;4,5;1,75;2,89891562047364;1,75;1,25;1,75
2,25;2,41659665107727;4,5;0,5;3,30355525310317;1,0999975931365;1,25;1,13830602175477;1,30018333825291;0,511119316104389;2,76652924519336;4;2,25;0,5;2,25
2,25;4,31963587613759;0,75;1,81491898876378;4,85059038170175;2,25;0,5;3,16255073350042;1,1607289501283;0;1,93214358013689;4,5;1,44883906117121;2,5;2,25
1,19882759973352;3;0,5;0,5;0,75;1,98996948729733;1,21514138193575;3;1,25;0,559880407089312;1,5;0,75;1,5;0,5;1,09179391809357
2,25;4;0,75;2,5;4,5;2,25;0,5;4,62416839209579;2;0,5;2,09062779559317;4,5;2,25;2,5;0,552971109772553
2,67057944842176;1,59305311208267;3,46054106646243;1,25;1,92710868778038;1,75;4,5;1,84028904551654;2;4,5;1,43803317329755;2;1,75;1,84284637861086;1,34103829150136
0,914978292731092;4;0,761467847862033;2,5;4,96621531991577;2,65671488137763;0,5;4,35224414027866;2,2523369580751;0,5;2,25;4,61643119045367;2,25;2,5;3,53302579700622
1,68693271171624;3;0,5;0,5;0,75;1,47881670830716;1,66643498892264;3;0,67854134304381;1,25;1,13366603438448;0,75;1,92246717956032;0,5;1,5
3,5;2;3,5;2,5;3,92406886905621;3,5;3,35876872034686;1,1765278885963;1,62360643903893;3,26413917134709;4,37739185214853;2,32879907280616;3,5;2,5;3,5
1,75;3,57082896193994;0,5;2,5;3,37793896271751;1,75;0,5;3,5;1,20261148559051;0,5;1,75;3,5;0,916064461654082;2,5;1,94812072578264
1,68225094568089;1,5;2,49639455112461;1,25;2;1,75;4,5;1,5;2,77240041725915;4,63726966485254;1,75;2;1,75;1,25;1,75
1,3578805093923;3,5;0,5;2,5;3,72927904129028;1,75;0,5;3,5;3;0,5;0,534663040439907;3,5;2,95934076139673;3,75631354784421;1,75
2,25;4;0,75;2,5;4,56207216976307;2,25;0,5;4,17159974536467;2;0,5;2,25;4,51685930952284;1,60348657593293;2,5;2,25
1,75;3,5;0,5;2,5;3,5;2,2667388866035;0,5;3,5;3;0,5;1,30561649799347;3,5;1,75;2,5;2,93669869375261
2,25;1,5;4,5;0,5;4;2,25;1,25;1,43854626847363;1,25;1,25;1,06455599403221;3,49722520937083;2,25;0,5;2,25
2,25;4;0,75;2,5;4,5;2,25;0,5;4;2;0,5;2,25;4,5;2,94476501641086;2,5;2,25
1,75;1,5;2,25;1,25;2;0,640734210210263;4,11802478698922;1,5;2,13059081655489;4,2402623511107;1,75;2;1,75;1,25;1,7723216327244
2,73328939743028;3,5;0,5;2,5;3,5;1,75;0,5;3,84104015763897;1,93374973579019;0,5;1,75;3,5;1,75;1,39986595530057;0,704524976529425
2,93610407572058;3,5;0,5;2,5;3,5;1,75;0,5;3,5;1,70383423413329;0,5;1,75;3,5;1,75;3,33719367503058;1,75
2,39286412410106;3,5;0,5;2,5;3,5;1,75;0,5;3,19581266315459;2,71496928376843;0,5;1,75;3,5;1,75;2,5;1,50580698508108
3,67251169340336;4,36596895911077;0,75;2,5;4,5;0,861571326554553;0,5;3,16818436708682;2,87653023371311;0,5;2,25;4,44971990047475;2,25;2,5;2,25
2,25;4;0,75;1,31771248454122;4,5;2,31509443526859;0,5;3,27890301974439;2;0,5;2,25;4,5;2,25;2,5;1,13002531189938
3,5;2;3,5;2,5;2,25763434276806;3,5;3,5;2,23847840597782;2,12826466560364;2,09204053878784;3,5;3;3,5;2,6754223530532;2,85976544947352
4,94173446015536;3,82199331411253;1,25;3,99029605742092;4;3,25759816740528;1,49808784457766;4;2,5;1,5;4;3,39969928953783;4;3;4,05129512168993
2,25;1,5;4,5;0,5;4,29674394582247;2,25;0,689268970717336;1,09689259440493;1,25;1,25;2,25;4;2,25;0,5;2,25
1,75;1,5;2,25;1,25;2,46693543692442;1,75;4,5;1,08724844646046;2;4,84939815609222;1,75;2;1,75;1,25;0,752642438398973
2,25;0;4,5;0,5;4,06013972175314;2,25;1,25;1,65385453945671;1,33141010456318;1,29467535777701;2,53175355285953;4;2,25;0,5;2,25
3,0095591545105;3,6954749490579;0,5;2,5;3,5;2,2948225556383;0,5;3,5;3,70424536555272;0,5;1,21776808738605;3,5;2,80644641085828;2,5;1,75
2,25;1,76266499597703;4,5;0,5;4,94157075881958;2,25;1,25;1,5;1,25;1,27605718387107;3,56576020902291;3,65553076316394;2,25;0,5;2,25
1,59984506834291;4;0,75;3,13309383119135;4,62784949020848;2,25;0,5;3,82421474104012;1,2619934651358;0,5;2,25;4,5;2,25;2,5;2,25
3,29425790989504;4;0,75;3,41797306827175;4,5;2,25;0,5;4;2;0,5;2,25;4,52377167461616;2,38860216289228;3,22985925163601;1,15001886088868
2;1,25;2,81838671132847;0;4,34772156241709;1,13591046451401;0,58889154185955;1,34084958738687;1,25;1,38455480261918;2,50900787744159;4,5;2;0;2
1,42454051525543;1,25;0,70465572257743;0,5;4,97237355819548;1,51126872771944;2,25;1,25;1,25;3,81121110162288;2,16756283918748;4,5;1,55132078218801;0,5;2
2;1,97304362755876;0,892592074532337;0,5;4,88162936916651;2;2,25;0,961965168110079;1,68805119776542;2,76336047833942;1,72634448517409;4,36718606826253;2;0,5;1,80782761462397
4;4;1,16376055714849;3;4;4;1,5;4;2,5;1,5;4;4;4,54017518998132;3;1,76755428314209
