girl_toy;music_rap;movies;makup_beauty;boy_toy;hightec;music_rap;sport_stuff;sport_stuff;gardening;music_rock;both_toy;girl_toy;sport_stuff;hightec;hightec;sport_stuff;music_pop;boy_toy;books;music_pop;hightec;girl_toy;music_rap;music_rock;girl_toy;sport_stuff;music_rap;sport_stuff;music_rap
4,06448312246449;0;2,42723686780186;3,97042726956793;5;0;0;0;0;2,63930247777109;1,85816655534234;2,16533126876006;4,0907853413796;1,95817309522916;4,32402273375728;4,42596534007507;0;1,21220696843798;0;0,162965774536133;0;3,05192886667882;4,45325384310133;1,92522037029266;1,22809138904702;4,49306877632303;1,18970990050105;1,96033776223675;1,34525804889633;0
4,31930413996768;1,17702794548917;1,12880174169727;1,00147367548266;4,2197319950069;2,69117667418494;2,82465506150604;0;1,68763183089329;0,97493837469953;1,03258371353149;2,74508704186654;0;1,22624551561952;4,50504047866214;4,41766738891602;1,73940478160018;0;0;2,80490812231084;1,38739843498329;3,38073316839558;4,07319224256705;0;1,81551356558479;4,45324531777447;0;0;1,62971094559399;0
0;0,659473955631256;1,90436708927155;0;0;3,3497754411538;0;3,05616092125706;3,02899876052001;0;4,31667374368602;0;0,5;4,54548623112286;4,70857196194519;3,26101482764865;0;1,47245285402632;0,5;2,55671519439514;1,7144367488634;3,63098557509062;0;1,42451956142882;4,11013243305969;0;4,36490304831644;0;0;1,54190182059161
2,87588225532131;1,00611511222372;1,59001684775111;0;1,99214310850582;2,57561998957564;1,33892505282486;0,676166272804218;0;2,93041156671495;0;3,57744157527454;2,48980737966011;1,89411793132039;0;0;1,26017620845706;0,5;0;4,95085424694738;0,5;2,12827432813508;3,83119230057634;1,82727570334788;4,51639209618624;2,10009201806974;0;0;0,988541005639611;1,40253624641455
3,69062780015665;0,81975735669013;0;0;0,550045547098874;1,11762211989501;0;0;0,980684340000153;1,25578851427687;0;0;3,38367907674223;0;1,32201160412375;1,4118238712716;0;0;2,85087614220142;4,30374240875244;0;0,799847185518521;3,37825781171129;0;0;3,96905428262849;1,47452851546673;1,7677466383985;0;0
1,5;1,83622611166734;0;4,56865227481753;0,5;0;0;3,34267231977669;3,10521100838911;0,5;0;0;0,5;3,81679857606851;0;0;3,17617090846234;0,440217137336731;0,5;0;1,39677552105709;2,54683604489399;0,5;3,30878721657618;3,6067701445924;0;3,3213621900982;4,63458073308439;2,57250571250916;0
0,5;0;2,95442781129592;4,25983991718844;0,5;2,5380335499244;0;3,51256777975362;3,89176165260922;0,5;0;1,73495228296842;0,5;3,15935883678466;2,69230656078658;3,07875845631527;3,1798171704541;0;0;2,35965454269184;2,36686755454487;0;0,5;4,10872213687223;3,70170507473019;0,5;0;2,04404470000604;3,65722529155073;1,76482254302354
0;0,975249538186588;1,02577220603161;0;3,17211492460785;0,646931778009483;1,35345911926285;0;2,27083180671131;0;0;0,822631597518921;0;0;0,511237377306091;0;3,63010358810425;1,21439713738598;3,28824761895847;0;0;0,632378818063242;2,03029727935791;0,805559116790797;1,32322638590039;0,792983051060225;0;1,00379548897212;0;0,662937856122357
0;1,66714315357019;1,78601033742819;0;3,9621247402216;0,915764677299077;0,811908568400847;1,14729726314545;3,90531606315883;0;0,74731792008845;0;1,94208610057831;2,38358039519916;0;0,999211757210648;0;0,787066734296766;3,79094645138408;0;1,82378583230255;0,552464910807305;1,37759324134215;0,689148678532405;0;0;3,79254032848056;1,21783625740457;3,06246064280274;1,8618574067307
2,47167253494263;0,785104751586914;1,7033326438178;0,5;4,42617845535278;0,631190322167794;1,24880459217765;2,47723903249821;0;0;1,09522183965669;0;1,38182395039211;0;1,32915321776138;0;3,79874275801645;1,89721564245281;3,48759050038065;1,03332337086709;0;1,07242926702482;0,806876017156465;1,82406312521736;0,959777126070008;0;0;0;1,38290572166443;0,95939831154393
0;0;3,72741884515966;0;0;3,6328194032576;0;3,50445288163817;4,77283887275161;0,860296246064965;0;0;0;4,44691091098213;4,50668064761287;0;3,87082680914124;0;1,5;2,10249708038871;3,31459357045339;0;0,5;0;4,36665649356631;0,5;4,69852762748419;2,11320742271524;3,97485173632151;0
2,42399221492186;0;1,74008418654096;4,98679146589096;2,06175095567561;2,11254369845267;1,13370039669503;0;0;0;4,66893300352103;0;0;1,92785388041653;0;2,24308069713557;1,23245371330178;0;1,59379007275858;0;0,5;1,56412806248485;0;1,85891591820815;4,79703843956675;3,40738148307771;0;1,57754197627192;2,62347340583801;0
