movies;music_classic;music_rap;makup_beauty;hightec;books;makup_beauty;books;books;hightec;gardening;both_toy;movies;both_toy;girl_toy;hightec;music_pop;makup_beauty;makup_beauty;boy_toy;boy_toy;boy_toy;movies;sport_stuff;hightec;gardening;movies;hightec;music_pop;music_rap;music_classic;hightec;music_rap;music_rock;music_rap;music_pop;movies;movies;hightec;boy_toy
0;0;4,49719485989641;4,94630988591644;3,25967759045757;4,09492758433098;0;0;1,65034641914551;2,44073496593197;0,5;1,85178250440014;1,18047907002293;0;0,5;3,24234030267333;0;0;0;0;0,5;0,5;0;0;0,347453117370605;0,5;1,89201424731501;2,57975246318604;0;1,82922753171494;0;0;0;3,5523955821991;0;2,06448245048523;0;1,87515554967111;0;0,5
2,7061544562253;0;0;0;0;0;0,5;3,63372253097301;0;4,10558165754451;0;0;4,33481293094103;2,47917349891699;3,37597676663472;0;2,77674889564514;0,5;0;0;0;0;0;2,17080839777869;4,17255967723791;4,55890565345013;4,4889668577765;4,45934114580012;0;0;2,51471762126997;4,28667612713141;1,26859374217158;0;1,93941329277093;1,041683851295;5;2,01383805274963;0;0
0;1,89698228747443;0;0;3,77486744512565;0;0;3,438072681427;0;0;0,5;1,72364150324075;0;1,80702643413424;0,5;2,50721528125332;3,4795858960038;4,82777957191122;3,33279776573181;0;0;0;0;3,6998782016802;2,12312752945494;0,5;0;2,10373405744496;1,89292452525949;1,20625209817954;1,46811293972103;2,63475298911089;2,46995191903317;3,88117423415239;0;0;0;0;0;0,5
4,18852819604265;2,18496279590063;0;0,5;0;0;0,5;0;0;3,86615777015686;0;0;3,93990192373279;0;0;0;0;0;0;3,76191403705716;3,28627324536735;3,68723767049948;3,45249392299563;0;3,8989421971603;2,9555286806801;2,30664058556158;4,22146272529916;3,18114949352161;1,27776580829069;2,9008022422906;0;0;0;0;0;0;4,37745515228131;3,3249386671581;3,65226073267509
0;0,547133343781872;0;0;0;0;0;2,09087188359856;2,64526605077333;3,43817422931929;0;0;0;0;0;4,64138982055773;0;0,5;0,5;0;0;0;2,73349189466494;0;3,81895623487372;0,544977571836197;2,34050795847574;0;0;0;0;4,10209703445435;0;4,81675981302595;2,21898099836846;3,91194052990151;0;0,855470275671906;0;0,5
0;0;0,679768007332351;0;2,17798135857004;4,2239364093281;0;0;4,00693440530772;2,68241156529747;0;0;0;0;0;1,61382277385044;0;0;4,70295195779901;0,861816493031483;0;2,13095758488912;1,59890859974497;0;0,895307117325862;0;0;0;0;0,777645360574892;0;0;0;0;0,746397646491601;0,5;1,6459048467902;0;0;0
1,66899907899508;0;1,59934534439787;0;0;2,00247526448335;0;0;3,43177415776615;0;0,968414965536639;1,25430695933956;0;1,09535148814104;0,5;0;0;0;0;0,5;0,5;0,5;3,96916019845249;0;4,21413068902405;0,645020998383416;0;3,06455390623983;0;1,12306415388503;0,936495414905481;4,30857099374224;1,56623871557705;0;2,36554089624693;3,67555165290833;0;0;3,66021299362183;0,5
1,91925942102413;0;2,99786886665871;0;0;0;0;0;3,75838978204801;0;1,5500912270742;0;0;0;0;0;1,42005590206015;0;1,6177784204483;0;0;0;2,94740775900307;0;3,22045743755086;0;0;4,40296019539375;0,946769608159908;2,22249237132375;0;2,90634798114484;0;0;0;1,35357641212343;1,79943124661196;0;0;4,81684449539373
0;4,83712137669191;0;3,03353272380006;0;0;1,77582848072052;4,63165275083466;5;2,98344114398744;0;0;1,72298493083705;0;0;0;0;2,95928701849621;2,56781708568699;2,86534076876256;1,39546446800021;3,75617004919619;2,36850303568342;0;1,53667080450648;0;2,99870634451448;2,50232005119324;0,5;0,612518371368068;0;0;0;4,51293791761293;1,93944076003481;0;0;0;2,41885933718591;0
2,61361938953103;1,49030654993388;1,55187404155731;0;0;3,08484292030334;0;0;4,34598756923619;0;0;1,06855780215401;2,80794273889993;0;0;3,95911954341415;0;0;4,0655658040501;0,5;0,5;0,5;0;0;3,07777433892608;0;0;3,42721666648389;2,40302427131823;2,59768165908646;0;2,04779963570079;2,25650238990784;3,07826704908082;0;0;1,46076704490034;0;2,92843105500957;0
